Time (UTC), Frequency (MHz),Level (dB/Hz)
1551105545.0, 141.060546875, -46.8818704116
1551105545.0, 141.0625, -47.151868103
1551105545.0, 141.064453125, -47.5113887449
1551105545.0, 141.06640625, -47.4817619232
1551105545.0, 141.068359375, -48.0462664195
1551105545.0, 141.0703125, -48.3395246298
1551105545.0, 141.072265625, -47.991860787
1551105545.0, 141.07421875, -48.2174634019
1551105545.0, 141.076171875, -48.346962209
1551105545.0, 141.078125, -48.2417925096
1551105545.0, 141.080078125, -48.197810943
1551105545.0, 141.08203125, -48.4390404457
1551105545.0, 141.083984375, -48.3277220425
1551105545.0, 141.0859375, -48.3629917585
1551105545.0, 141.087890625, -48.3861951751
1551105545.0, 141.08984375, -48.4224306554
1551105545.0, 141.091796875, -48.2067077986
1551105545.0, 141.09375, -48.3855311305
1551105545.0, 141.095703125, -48.1700563751
1551105545.0, 141.09765625, -48.3605823213
1551105545.0, 141.099609375, -48.4148117601
1551105545.0, 141.1015625, -48.6357236957
1551105545.0, 141.103515625, -48.7555692648
1551105545.0, 141.10546875, -48.4140564126
1551105545.0, 141.107421875, -48.6952292285
1551105545.0, 141.109375, -48.4320720058
1551105545.0, 141.111328125, -48.397274462
1551105545.0, 141.11328125, -48.5406489015
1551105545.0, 141.115234375, -48.6890179243
1551105545.0, 141.1171875, -48.7848037332
1551105545.0, 141.119140625, -48.5646736534
1551105545.0, 141.12109375, -48.190493201
1551105545.0, 141.123046875, -48.3559361986
1551105545.0, 141.125, -48.0878646845
1551105545.0, 141.126953125, -48.5220272344
1551105545.0, 141.12890625, -48.326695462
1551105545.0, 141.130859375, -48.2920501821
1551105545.0, 141.1328125, -48.1210572144
1551105545.0, 141.134765625, -48.3214441318
1551105545.0, 141.13671875, -48.2283931775
1551105545.0, 141.138671875, -48.7130387065
1551105545.0, 141.140625, -48.4606771609
1551105545.0, 141.142578125, -48.3858758825
1551105545.0, 141.14453125, -48.6402575254
1551105545.0, 141.146484375, -48.7405847256
1551105545.0, 141.1484375, -48.5059093016
1551105545.0, 141.150390625, -48.4325639193
1551105545.0, 141.15234375, -48.0738841526
1551105545.0, 141.154296875, -48.437532522
1551105545.0, 141.15625, -48.6418388117
1551105545.0, 141.158203125, -48.3816826451
1551105545.0, 141.16015625, -48.6877840731
1551105545.0, 141.162109375, -48.6762267076
1551105545.0, 141.1640625, -48.331447721
1551105545.0, 141.166015625, -48.5025762225
1551105545.0, 141.16796875, -48.3939977152
1551105545.0, 141.169921875, -48.5212885573
1551105545.0, 141.171875, -48.4982052281
1551105545.0, 141.173828125, -48.1038311506
1551105545.0, 141.17578125, -48.1497174091
1551105545.0, 141.177734375, -48.1652680848
1551105545.0, 141.1796875, -48.3441775647
1551105545.0, 141.181640625, -48.2629937441
1551105545.0, 141.18359375, -48.3092849189
1551105545.0, 141.185546875, -48.2831448399
1551105545.0, 141.1875, -48.1080899658
1551105545.0, 141.189453125, -48.1902332582
1551105545.0, 141.19140625, -48.2658457713
1551105545.0, 141.193359375, -48.1882465463
1551105545.0, 141.1953125, -48.2944550083
1551105545.0, 141.197265625, -48.4858514647
1551105545.0, 141.19921875, -48.5154529183
1551105545.0, 141.201171875, -48.4213649798
1551105545.0, 141.203125, -48.4694386944
1551105545.0, 141.205078125, -48.265256785
1551105545.0, 141.20703125, -48.2874889187
1551105545.0, 141.208984375, -48.5823173459
1551105545.0, 141.2109375, -48.7519618728
1551105545.0, 141.212890625, -48.5601623926
1551105545.0, 141.21484375, -48.2609228165
1551105545.0, 141.216796875, -48.1836009019
1551105545.0, 141.21875, -48.3186079805
1551105545.0, 141.220703125, -48.4732992641
1551105545.0, 141.22265625, -48.2603889483
1551105545.0, 141.224609375, -48.616903106
1551105545.0, 141.2265625, -48.3168644328
1551105545.0, 141.228515625, -48.2643246645
1551105545.0, 141.23046875, -48.477810039
1551105545.0, 141.232421875, -48.4251892495
1551105545.0, 141.234375, -48.121912374
1551105545.0, 141.236328125, -48.262165874
